Department,Code,Sarvam STT,Corrected Transcription
HR-Admin,HR_Ad_Q_16.ogg,"मैं जुलेखा अंसारी बोल रही हूँ बीसी से, फ्लोर पर ना मच्छर बहुत काट रहे हैं, मच्छर के लिए कुछ कीजिए, थैंक यू।",
HR-Admin,HR_Ad_Q_17.ogg,"मैं सुशीला बोल रही हूँ मुंबई सेंटर से, मेरा लोन कभी ख़त्म होएगा?",
HR-Admin,HR_Ad_Q_18.ogg,"हम लोग की मशीन के पास गुड नाईट लगना चाहिए ना, उधर होल्डर नहीं है।",
HR-Admin,HR_Ad_Q_19.ogg,"मैं सुष्मिता, मुझे मैं ट्रेनिंग के लिए आती हूँ, मुझे थोड़ा पीएफ निकालना है।",
HR-Admin,HR_Ad_Q_2.ogg,और मैं टेनी मेडिकल से बोल रहा हूं। बॉम्बे सेंटर से। सर मेडिसिन मेरे को चाहिए था सर्दी और बदन दर्द के लिए। तो ये लोग स्टाफ लोग बोल रहे हैं कि नहीं है करके। और रखना बंद कर दिए पहले रखते थे सर। ठीक है।,और मैं टेनी मेडिकल से बोल रहा हूं बॉम्बे सेंटर से सर मेडिसिन मेरे को चाहिए था सर्दी और बदन दर्द के लिए तो ये लोग स्टाफ लोग बोल रहे हैं कि नहीं है करके और रखना बंद कर दिए पहले रखते थे सर ठीक है
HR-Admin,HR_Ad_Q_20.ogg,"नमस्ते सर जी, मेरा नाम शिव परदेशी है, बेतवाला सॉरी, शिव बेतवाला है। मुझे 2 चीज़ जानना है, पहला पीएफ ख़त्म हो चू ए सॉरी, पीएफ का पेमेंट कितना जमा हुआ है? और दूसरी बात, दूसरा लोन, लोन का कितना पैसा बाकी है कटना और कभी ख़त्म होगा? यही दोनों जानना है, धन्यवाद।",
HR-Admin,HR_Ad_Q_21.ogg,"हेलो, मैं बी सी ऑफिस से माधुरी माथुर बोल रही हूँ। मुझे पी एफ का मैसेज नहीं आता है, तो आप मुझे प्लीज़ हेल्प करोगे?",
HR-Admin,HR_Ad_Q_22.ogg,"हाय टाइनी टीम, मैं बी सी ऑफिस से बोल रही हूँ। मेरा नाम भारती है। मुझे मेरे पी एफ के बारे में जानना है कि अभी मैंने गए साल में मेरा पी एफ का पैसा निकाला था, तो वह निकालने के बाद में जब से अब तक मेरा पी एफ में कितना पैसा बचा है? और दूसरी बात यह है कि जो हमको पेड लिफ्ट मिलता है। वह पैडलिफ्ट किस महीने में मिलेगा और कितना मिलेगा?",
HR-Admin,HR_Ad_Q_23.ogg,"हाय टाइनी टीम, मैं भारती विक्रम परदेसी बोल रही हूँ। बिना दीदी मैं आपको पूछ रही हूँ अकाउंट्स का, आप ही देखते हो ना? तो मेरे अकाउंट्स में प्रॉब्लम है क्योंकि मेरा पेमेंट कम आया है जनवरी का। जिस तरीके से मुझे पेमेंट के बारे में बताया है तो मेरा पेमेंट कम आया है। मेरे पास पेमेंट स्लिप है लेकिन मेरा जो रिकॉर्ड है ना, मेरे रिकॉर्ड से मैंने जो जिस तरीके से मतलब मेरा ये था ना। मतलब मैंने हिसाब किया था तो मेरा ज़्यादा हो रहा है और मेरा है ना डेली बेसिस में 1 दिन का है और 1 दिन शूटिंग हो रहा था कंपनी में तो उसका भी बोले थे 1 दिन का फुल दिन फुल टाइम जे मतलब फुल टाइम का पैसा जैसा जो आएगा वैसा उसको मिलेगा तो उसका भी हिसाब मुझे मिला नहीं है तो आपसे मैं यह पूछ रही हूं कि मैं वह जो स्लिप है पेमेंट वह मैं आपको लाकर दिखाऊँ क्या? मैं कल आऊँ, आप मिलेंगे मुझे कल या फिर किससे पूछूँ? आप मुझे बताइए अकाउंट्स का और अलावा आपके अलावा और कौन देखता है? मुझे बताइए तो मैं उनसे पूछूँगी, मैं पेमेंट स्लिप उनको बताऊँगी।",
HR-Admin,HR_Ad_Q_24.ogg,"और मच्छर का गुड नाईट दिया है दीदी, लेकिन इधर ना पॉइंट नहीं है लगाने वाला।",
HR-Admin,HR_Ad_Q_25.ogg,मी बीसीओ ऑफिस से स्वाती बोल रही हूँ। मुझे है ना ये ये फ्लोर के लिए बोलना है कि एग्जस्ट फैन खिड़की के पास लगाओ। खाना खाने के टाइम जब बैठते है ना तो बहुत डस्ट उडता है।,
HR-Admin,HR_Ad_Q_26.ogg,"हेलो, मैं सीता राजेश बोल रही हूँ। साइनिंग मेडिकल से मैं स्टिचिंग का काम करती हूँ। यहाँ पर एजेस पेन की ज़रूरत है। क्योंकि यहाँ पर डस्ट बहुत होता है, पानी भी लेने जाते हैं तो वहाँ पर भी पानी के ऊपर भी डस्ट बहुत रहता है, आप प्लीज़ एक एडजस्ट फैन लगा दीजिए।",
HR-Admin,HR_Ad_Q_27.ogg,सर मुझे भी एक जेस्क फैन चाहिए।,
HR-Admin,HR_Ad_Q_28.ogg,"मेरा नाम रतिका जाधव है, मैं बीसी से बोल रही हूँ, मेरा जो भी पीएफ है वो मेरे अकाउंट में डालो।",
HR-Admin,HR_Ad_Q_29.ogg,"ऋषि सर हमको ये टेबल नहीं जम रहा है, प्लीज हम लोग के लिए एक चेयर करो सबके लिए। मैं मुंबई सेंटर से बोल रही हूँ सीमा।",
HR-Admin,HR_Ad_Q_3.ogg,"मेरा नाम ज्योति है, मैं बीसी से बोल रही हूँ, मुझे मेरा पीएफ का अमाउंट जानना है।",मेरा नाम ज्योति है मैं बीसी से बोल रही हूँ मुझे मेरा पीएफ का अमाउंट जानना है
HR-Admin,HR_Ad_Q_4.ogg,"मैं हदिका बोल रही हूँ, मुझे ना पीएफ के बारे में बोलना है, पीएफ का पैसा मुझे ना निकाल के ट्राई करना है कि मेरा आ पा रहा है कि नहीं, ठीक है।",मैं हदिका बोल रही हूँ मुझे ना पीएफ के बारे में बोलना है पीएफ का पैसा मुझे ना निकाल के ट्राई करना है कि मेरा आ पा रहा है कि नहीं ठीक है
HR-Admin,HR_Ad_Q_5.ogg,"मैं हेमलता परदेसी बीसी ऑफिस से, मुझे मेरा पीएफ का पैसा जानना है।",मैं हेमलता परदेसी बीसी ऑफिस से मुझे मेरा पीएफ का पैसा जानना है
HR-Admin,HR_Ad_Q_6.ogg,"मैं बबीता विलास बोल रही हूँ, मेरा पूरे साल का पीएफ कितना जमा हुआ है वो भी मुझे पता करना है।",मैं बबीता विलास बोल रही हूँ मेरा पूरे साल का पीएफ कितना जमा हुआ है वो भी मुझे पता करना है
HR-Admin,HR_Ad_Q_7.ogg,मुझे पीएफ निकालना है।,मुझे पीएफ निकालना है
HR-Admin,HR_Ad_Q_8.ogg,"मैं डाइनिंग कंपनी से बोल रही हूँ, अफसरा ग्रैंड डोर बिल्डिंग से मेरा पीएफ का पैसा कितना जमा हुआ है आप बता दो।",मैं टाइनी कंपनी से बोल रही हूँ अप्सरा ग्रांट रोड बिल्डिंग से मेरा पीएफ का पैसा कितना जमा हुआ है आप बता दो
HR-Admin,HR_Ad_Q_9.ogg,"सर मैं अजीब खान बोल रहा हूँ, अजीब खान बोल रहा हूँ, जी सर से काम है, मेरा पीएफ का पैसा और लोन कितना कटा है आप बताइए प्लीज।",सर मैं अय्युब खान बोल रहा हूँ अय्युब खान बोल रहा हूँ दिनेश सर से काम है मेरा पीएफ का पैसा और लोन कितना कटा है आप बताइए प्लीज
Helpdesk,HD_Q_2.ogg,"हॅलो, मी करुणा गावडे, मला आयुष्यमान कार्ड काढायचं आहे, त्याच्यासाठी काय काय डॉक्युमेंट लागतील?",हॅलो मी करुणा गावडे मला आयुष्यमान कार्ड काढायचं आहे त्याच्यासाठी काय काय डॉक्युमेंट लागतील
Helpdesk,HD_Q_3.ogg,"मेरे लड़के का डेथ सर्टिफिकेट मंगाना है, अभी तक निकाला नहीं है तो उसके लिए क्या कर सकते हैं?",मेरे लड़के का डेथ सर्टिफिकेट मंगाना है अभी तक निकाला नहीं है तो उसके लिए क्या कर सकते हैं
Helpdesk,HD_Q_4.ogg,"मेरा नाम सीमा है, आपने जो मेरा वोटिंग कार्ड बनाया था वह मुझे बनाकर चाहिए।",मेरा नाम सीमा है आपने जो मेरा वोटिंग कार्ड बनाया था वह मुझे बनाके चाहिए
Helpdesk,HD_Q_5.ogg,"हेलो मैडम, मैं चंदा देवी बोल रही हूँ। हमारे आधार कार्ड में यहाँ का एड्रेस डालने का है, हो जाएगा क्या?",हेलो मैडम मैं चंदा देवी बोल रही हूँ हमारे आधार कार्ड में यहाँ का एड्रेस डालने का है हो जाएगा क्या
Helpdesk,HD_Q_6.ogg,"हॅलो प्रीती, मी सारिका बोलते आहे. त्या पोपलकर मावशी आहेत ना, त्यांनी काय सांगितलंय की त्यांचं डॉक्युमेंट्स सबमिट केलंय त्यांनी, तर त्यांचं काम झालेलं आहे, थोडंसंच राहिलंय आता बघतो.",हॅलो प्रीती मी सारिका बोलते आहे त्या पोपलकर मावशी आहेत ना त्यांनी काय सांगितलंय की त्यांचं डॉक्युमेंट्स सबमिट केलंय त्यांनी तर त्यांचं काम झालेलं आहे थोडंसंच राहिलंय आता बघतो
Helpdesk,HD_Q_7.ogg,"मी संचिता ऐके बोलते आहे, आज आपल्याला पोस्टात जायचं आहे.",मी संचिता ऐके बोलते आहे आज आपल्याला पोस्टात जायचं आहे
Helpdesk,HD_Q_8.ogg,कौन सा फॉर्म भरा था वो मुझे समझ में नहीं आ रहा है और मालूम भी नहीं है।,कौन सा फॉर्म भरा था वो मुझे समझ में नहीं आ रहा है और मालूम भी नहीं है
Helpdesk,Hd_Q_1.ogg,"हेलो दीदी, मैं दिव्या बोल रही हूँ, मेरा आधार कार्ड पैन कार्ड लिंक नहीं है तो क्या करूँ मैं?",हेलो दीदी मैं दिव्या बोल रही हूँ मेरा आधार कार्ड पैन कार्ड लिंक नहीं है तो क्या करूँ मैं
Helpdesk,Hd_Q_10.ogg,"मैं निर्मला प्रजापति, पोस्ट ऑफिस में मुझे पैसा भरना है, क्या-क्या डॉक्यूमेंट लगेगा?",मैं निर्मला प्रजापति पोस्ट ऑफिस में मुझे पैसा भरना है क्या-क्या डॉक्यूमेंट लगेगा
Helpdesk,Hd_Q_100.ogg,"मुझे पैन कार्ड करेक्शन करना है बी सी ऑफिस से, मेरा नाम पवन है।",
Helpdesk,Hd_Q_101.ogg,"Good afternoon sir, my name is Bhavesh. I want to make my election card and PAN card.",
Helpdesk,Hd_Q_102.ogg,"सर, मैं बबीता विलास मुंबई सेंटर से, मुझे पैन कार्ड का नाम चेंज करना है।",
Helpdesk,Hd_Q_103.ogg,"हेलो दिनेश सर, मैं बीसी से प्रीतम बोल रहा हूँ। मुझे केवाईसी के लिए जानकारी चाहिए था और लाड़की बहन का।",
Helpdesk,Hd_Q_104.ogg,"मैं मुंबई सेंटर से नंदिनी परदेसी बोल रही हूँ, मुझे पैन कार्ड में नाम चेंज कराना है, मुंबई सेंटर बीसी से।",
Helpdesk,Hd_Q_105.ogg,"सर मैं बॉम्बे सेंटर से बोल रही हूँ, मेरा नाम सुधा है, मैं आधार अपडेट करने के लिए दी थी, अभी तक मेरा हुआ नहीं है वो।",
Helpdesk,Hd_Q_106.ogg,दिनेश और मेरी दृष्टि का ना आधार कार्ड बनाने का है वो पांच साल कंप्लीट हो गया है ना? पांच साल का बना हुआ है। रिन्यू कराने का। पांच पांच साल का हो गया ये उसका खाली आधार कार्ड है रिन्यू करना है।,
Helpdesk,Hd_Q_107.ogg,"हेलो सर, मैं मीनू बोल रही हूँ। हाँ, मुझे आयुष्मान कार्ड फैमिली के लिए बनाना है और पैन कार्ड करना है, आधार कार्ड करना है। मेरा चोरी हो गया सर। गया? लाल बटन दबाओ।",
Helpdesk,Hd_Q_108.ogg,"मैं बीसी ऑफिस से बोल रही हूँ, मेरा नाम कल्पना सनी है, मेरे को बच्चे को कॉलेज ट्रिप के लिए क्या क्या डॉक्यूमेंट देना है?",
Helpdesk,Hd_Q_109.ogg,"मैं रेणु परदेसी बोल रही हूँ, मुझे मेरी बेटी का दृष्टि का आधार कार्ड वापस बनाने का है। उसका 5 साल कंप्लीट हो गया है ना, तो उसके लिए मुझे आधार कार्ड बनाने का है। दिनेश सर, कल मुझे...",
Helpdesk,Hd_Q_11.ogg,"मॅडम, मी संध्या पवार बोलते. मी पोस्टमध्ये गेली होती आयडी खोलण्यासाठी, तर आधार कार्ड पेन कार्ड लिंक नाही. तर त्यांनी सांगितलेत आधार कार्ड पेन कार्ड लिंक करण्यासाठी तर कोणते कोणते डॉक्युमेंट्स लागतील?",मॅडम मी संध्या पवार बोलते मी पोस्टमध्ये गेली होती आर्दी खोलण्यासाठी तर आधार कार्ड पेन कार्ड लिंक नाही तर त्यांनी सांगितलेत आधार कार्ड पेन कार्ड लिंक करण्यासाठी तर कोणते कोणते डॉक्युमेंट्स लागतील
Helpdesk,Hd_Q_110.ogg,"मी रंजना कोलेकर टायनी मेमाईडीशी टायनी मिरेकलमधून बोलते, मला लोन हवं आहे.",
Helpdesk,Hd_Q_12.ogg,"मी प्रमिला जाधव, माझ्या मुलीच्या कॉलरशिपचा फॉर्म भरायचा आहे. कोणते कोणते डॉक्युमेंट्स घेऊन येऊ?",मी प्रमिला जाधव माझ्या मुलीच्या स्कॉलरशिपचे फॉर्म भरायचा आहे कोणते कोणते डॉक्युमेंट्स घेऊन येऊ
Helpdesk,Hd_Q_13.ogg,"मी बेबी परफ आहे, माझा आधार कार्ड अपडेट केलेला अजून आला नाही आहे, ते मला पाहिजेत आहे.",मी बेबी बरफ़ आहे माझा आधार कार्ड अपडेट केलेला अजून आला नाही आहे ते मला पाहिजेत आहे
Helpdesk,Hd_Q_14.ogg,"मी वर्षा किरकिरे स्टिचिंग डिपार्टमेंटमध्ये आहे. मी आधार कार्ड अपडेट केलं, ते अजूनपर्यंत आलं नाही आहे.",मी वर्षा किरकिरे स्टिचिंग डिपार्टमेंटमध्ये आहे मी आधार कार्ड अपडेट केलं ते अजूनपर्यंत आलं नाही आहे
Helpdesk,Hd_Q_15.ogg,"मी लता पाटील, मला पोस्टर सेव्हिंग अकाउंट खोलायचा आहे, ओपन करायचा आहे, तर कोणकोणते डॉक्युमेंट पाहिजे?",मी लता पाटील मला पोस्टर सेव्हिंग अकाउंट खोलायचा आहे ओपन करायचा आहे तर कोणकोणते डॉक्युमेंट पाहिजे
Helpdesk,Hd_Q_16.ogg,"मी विद्या मगरे माझ्या मुलीचे स्कॉलरशिपचे फॉर्म भरायचा आहे, त्याच्यासाठी कोणते कोणते डॉक्युमेंट लागणार आहेत?",मी विद्या मगरे माझ्या मुलीचे स्कॉलरशिपचे फॉर्म भरायचा आहे त्याच्यासाठी कोणते कोणते डॉक्युमेंट लागणार आहेत
Helpdesk,Hd_Q_17.ogg,"मी सारिका कांबळे, पोराचं पीपीएलचं अकाउंट ओपन करायचं आहे, काय काय डॉक्युमेंट्स लागणार?",मी सारिका कांबळे पोराचं पीपीएलचं अकाउंट ओपन करायचं आहे काय काय डॉक्युमेंट्स लागणार
Helpdesk,Hd_Q_18.ogg,"मी कृतिका सावरे, माझ्या मुलींच्या अकाउंटमध्ये पैसे भरायचे आहेत, तर ते कसे भरायचे? सुकन्याचे.",मी कृतिका सावरे माझ्या मुलींच्या अकाउंटमध्ये पैसे भरायचे आहेत तर ते कसे भरायचे सुकन्याचे
Helpdesk,Hd_Q_19.ogg,"मैं इंदू जायसवाल, आपने जो सेशन लिया था उस पॉलिसी का नाम क्या है? हमें जानना है।",मैं इंदू जायसवाल आपने जो सेशन लिया था उस पॉलिसी का नाम क्या है हमें जानना है
Helpdesk,Hd_Q_20.ogg,"मेरा नाम टी बामा, मेरा पैन कार्ड नाम चेंज करने का आधार कार्ड अपडेट किया, क्या क्या डॉक्यूमेंट्स चाहिए?",मेरा नाम टी बामा मेरा पैन कार्ड नाम चेंज करने का आधार कार्ड अपडेट किया क्या क्या डॉक्यूमेंट्स चाहिए
Helpdesk,Hd_Q_21.ogg,"मेरा नाम कलेरसी, मेरे को आयुष्मा कार्ड बनाने का उसको क्या क्या ट्रैक मेट चाहिए?",मेरा नाम कलेरसी मेरे को आयुष्मा कार्ड बनाने का उसको क्या क्या डॉक्यूमेंट्स चाहिए
Helpdesk,Hd_Q_22.ogg,"मी निकिता महाले, माझ्या मुलाचं रॅशन कार्डवरती नाव चढवायचं आहे, त्याच्यासाठी काय काय डॉक्युमेंट्स लागतील?",मी निकिता महाले माझ्या मुलाचं रॅशन कार्डवरती नाव चढवायचं आहे त्याच्यासाठी काय काय डॉक्युमेंट लागतील
Helpdesk,Hd_Q_23.ogg,"मी शीला सदाफुले, माझ्या नवऱ्याचा आधार कार्ड अपडेट केलेलं आहे, ते आले नाही आहे.",मी शीला सदाफुले माझ्या नवऱ्याचा आधार कार्ड अपडेट केलेला आहे ते आले नाही आहे
Helpdesk,Hd_Q_24.ogg,"मी रुपाली मिरके, मला आयुष्मान कार्ड काढायचं आहे, तर कोणते डॉक्युमेंट्स लागतील ते सांगा.",मी रुपाली मिरके मला आयुष्मान कार्ड काढायचं आहे तर कोणते डॉक्युमेंट्स लागतील ते सांगा
Helpdesk,Hd_Q_25.ogg,"मैं रेखा आकाश परदेसी बोल रही हूँ, बॉम्बे सेंटर बीसी से। मुझे मेरे राशन कार्ड का इनकम कम कराना है, तो उसका हल कैसे निकलेगा? छोड़ूँ?",मैं रेखा आकाश परदेसी बोल रही हूँ बॉम्बे सेंटर बीसी से मुझे मेरे राशन कार्ड का इनकम कम कराना है तो उसका हल कैसे निकलेगा छोड़ूँ
Helpdesk,Hd_Q_26.ogg,मला आयुष्यमान कार्ड बनवायचं आहे.,मला आयुष्यमान कार्ड बनवायचं आहे
Helpdesk,Hd_Q_27.ogg,"हाय, मी सैन्याज बाबा, मला लोन पाहिजे, एक लाखापर्यंत मिळू शकतो का?",हाय मी सैन्याज बाबा मला लोन पाहिजे एक लाखापर्यंत मिळू शकतो का
Helpdesk,Hd_Q_28.ogg,"हेलो दीदी, मैं भावना बोल रही हूँ और मैं बी डी सी जी से बोल रही हूँ और है ना मेरे को घर का जो भी तकलीफ़ है वो पेपर के लिए मेरे को खाली राशन कार्ड अगर नया बनाना रहेगा तो क्या करना पड़ेगा? नया राशन के लिए मेरे को नाम चढ़ाना है राशन कार्ड में, कार्ड ही बनाना है मेरे को। वो मेरे को मदद चाहिए और मेरे को इतना जानना है पीएफ कितना है मेरा बस और आप इस इसमें भेजो मेरे को मैं इंतजार करूंगी",हेलो दीदी मैं भावना बोल रही हूँ और मैं बी डी सी जी से बोल रही हूँ और है ना मेरे को घर का जो भी तकलीफ़ है वो पेपर के लिए मेरे को खाली राशन कारट अगर नया बनाना रहेगा तो क्या करना पड़ेगा नया राशन के लिए मेरे को नाम चढ़ाना है राशन कार्ड में कार्ड ही बनाना है मेरे को वो मेरे को मदद चाहिए और मेरे को इतना जानना है पीएफ कितना है मेरा बस और आप इस इसमें भेजो मेरे को मैं इंतज़ार करूँगी
Helpdesk,Hd_Q_29.ogg,"मेरा नाम वंदना है, मैं मुंबई सेंट्रल ऑफिस से बोल रही हूँ। मुझे ना, मेरा मानपुर से राशन कार्ड है, तो मुझे यहाँ पर ट्रांसफर करवाना है।",मेरा नाम वंदना है मैं मुंबई सेंट्रल ऑफिस से बोल रही हूँ मुझे ना मुझे मेरा मानपुर से राशन कार्ड है तो मुझे यहाँ पर ट्रांसफर करवाना है
Helpdesk,Hd_Q_30.ogg,"मी संध्या पवार बोलते, माझं आधार कार्ड पॅन कार्ड लिंक झालं आहे, आरडी खोलण्यासाठी कोणते कोणते डॉक्युमेंट्स लागतील ते सांगा.",मी संध्या पवार बोलते माझं आधार कार्ड पॅन कार्ड लिंक झालं आहे आरडी खोलण्यासाठी कोणते कोणते डॉक्युमेंट्स लागतील ते सांगा
Helpdesk,Hd_Q_31.ogg,"मी संगीता नडगे, माझ्या मुलाचं आधार कार्ड अपडेट केलेलं आहे पण अजून आलेलं नाही.",मी संगीता नडगे माझ्या मुलाचं आधार कार्ड अपडेट केलेलं आहे पण अजून आलेलं नाही
Helpdesk,Hd_Q_32.ogg,"गुडमेश कुमार, मुझे आयुष्मान कार्ड निकालना है।",गुडमेश कुमार मुझे आयुष्मान कार्ड निकालना है
Helpdesk,Hd_Q_33.ogg,"मी नीलम मिरके, माझ्या मुलांचं राशन कार्डावरती नाव चढवायचं आहे आणि माझं पण नाव चढवायचं आहे.",मी नीलम मिरके माझ्या मुलांचं राशन कार्डावरती नाव चढवायचं आहे आणि माझं पण नाव चढवायचं आहे
Helpdesk,Hd_Q_34.ogg,"मी निकिता महाले, मला मॅरेज सर्टिफिकेट काढायचं आहे, काय काय डॉक्युमेंट्स लागतील?",मी निकिता महाले मला मॅरेज सर्टिफिकेट काढायचं आहे काय काय डॉक्युमेंट्स लागतील
Helpdesk,Hd_Q_35.ogg,"मॅडम, मी कल्पना लोतडे, मला मॅरेज सर्टिफिकेट बनवायचं आहे, त्याच्यासाठी काय काय डॉक्युमेंट्स लागणार आहेत? झालं?",मॅडम मी कल्पना लोतडे मला मॅरेज सर्टिफिकेट बनवायचं आहे त्याच्यासाठी काय काय डॉक्युमेंट्स लागणार आहेत झालं
Helpdesk,Hd_Q_36.ogg,"हाय प्रीती मॅडम, मी अपर्णा पवार बोलते, म्हणजे 2 महिन्याचे पेंडिंग होते साथी ॲपचे बॅलन्स जे मी आता भरले आहेत आणि फेब्रुवारीचे सुद्धा भरलेले आहेत, तर तुम्ही एकदा चेक करा, ओके? तर सरांनी सांगितलेलं की पे केल्यानंतर तुम्हाला सांगायला, त्यामुळे तुम्हाला मेसेज करते. तर डिसेंबर, जानेवारी आणि फेब्रुवारीचे असे 3 महिन्याचे मी भरलेले आहेत, ठीक आहे, तुम्ही एकदा चेक करा मॅडम.",हाय प्रीती मॅडम मी अपर्णा पवार बोलते म्हणजे दो महिन्याचे पेंडिंग होते साथी ॲपचे बॅलन्स जे मी आता भरले आहेत आणि फेब्रुवारीचे सुद्धा भरलेले आहेत तर तुम्ही एकदा चेक करा ओके तर सरांनी सांगितलेलं की पे केल्यानंतर तुम्हाला सांगायला त्यामुळे तुम्हाला मेसेज करते तर डिसेंबर जानेवारी आणि फेब्रुवारीचे असे तीन महिन्याचे मी भरलेले आहेत ठीक आहे तुम्ही एकदा चेक करा मॅडम
Helpdesk,Hd_Q_37.ogg,"प्रीती मॅडम, मी तन्वी राणे बोलते. मला स्कॉलरशिपसाठी ईमेल आला आहे.",प्रीती मॅडम मी तन्वी राणे बोलते मला स्कॉलरशिपसाठी ईमेल आला आहे
Helpdesk,Hd_Q_38.ogg,"मैं दिव्या पाली बोल रही हूँ, यह पूछना था कि लोन कभी पूरा होगा और दूसरा लोन ले सकते हैं क्या ज़रूरत है इसलिए।",मैं दिव्या पाली बोल रही हूँ यह पूछना था कि लोन कभी पूरा होगा और दूसरा लोन ले सकते हैं क्या ज़रूरत है इसलिए
